data,home,away
2025-12-11,Internacional,Santos
2025-12-11,Cruzeiro,Corinthians
2025-12-11,Flamengo RJ,Bragantino
2025-12-11,Botafogo RJ,Gremio
2025-12-11,Bahia,Vasco
2025-12-11,Fortaleza,Atletico-MG
2025-12-14,Vitoria,Mirassol
2025-12-14,Vasco,Internacional
2025-12-14,Santos,Sport Recife
2025-12-14,Juventude,Bahia
2025-12-14,Gremio,Palmeiras
2025-12-14,Corinthians,Botafogo RJ
2025-12-14,Ceara,Cruzeiro
2025-12-14,Bragantino,Fortaleza
2025-12-14,Atletico-MG,Flamengo RJ
2025-12-14,Fluminense,Sao Paulo
2025-12-18,Juventude,Santos
2025-12-18,Sao Paulo,Internacional
2025-12-18,Palmeiras,Vitoria
2025-12-18,Vasco,Mirassol
2025-12-18,Gremio,Fluminense
2025-12-18,Cruzeiro,Botafogo RJ
2025-12-18,Flamengo RJ,Ceara
2025-12-18,Bragantino,Atletico-MG
2025-12-18,Bahia,Sport Recife
2025-12-18,Fortaleza,Corinthians
2025-12-21,Sport Recife,Gremio
2025-12-21,Atletico-MG,Vasco
2025-12-21,Botafogo RJ,Fortaleza
2025-12-21,Ceara,Palmeiras
2025-12-21,Corinthians,Juventude
2025-12-21,Fluminense,Bahia
2025-12-21,Internacional,Bragantino
2025-12-21,Mirassol,Flamengo RJ
2025-12-21,Santos,Cruzeiro
2025-12-21,Vitoria,Sao Paulo
