id_jogo;nacao;campeonato;ano;dia;home;away;endereco
fkYKbziA;BRAZIL;SERIE B;2024;14.07.2024;Sport Recife;America MG;https://www.flashscore.com/match/fkYKbziA/#/
8rZMwZEp;BRAZIL;SERIE B;2024;15.07.2024;Santos;Ituano;https://www.flashscore.com/match/8rZMwZEp/#/
6TiQxgUj;BRAZIL;SERIE B;2024;15.07.2024;Chapecoense-SC;Brusque;https://www.flashscore.com/match/6TiQxgUj/#/
SbUdjCbj;BRAZIL;SERIE B;2024;20.07.2024;America MG;Amazonas;https://www.flashscore.com/match/SbUdjCbj/#/
6kT0kWDd;BRAZIL;SERIE B;2024;20.07.2024;Avai;Ceara;https://www.flashscore.com/match/6kT0kWDd/#/
pvRXeYzT;BRAZIL;SERIE B;2024;20.07.2024;Botafogo SP;Brusque;https://www.flashscore.com/match/pvRXeYzT/#/
YeLnDZ53;BRAZIL;SERIE B;2024;20.07.2024;Coritiba;Mirassol;https://www.flashscore.com/match/YeLnDZ53/#/
KhHrEFjc;BRAZIL;SERIE B;2024;20.07.2024;CRB;Ituano;https://www.flashscore.com/match/KhHrEFjc/#/
jHRTdELM;BRAZIL;SERIE B;2024;20.07.2024;Guarani;Goias;https://www.flashscore.com/match/jHRTdELM/#/
nmDaihqp;BRAZIL;SERIE B;2024;20.07.2024;Novorizontino;Chapecoense-SC;https://www.flashscore.com/match/nmDaihqp/#/
GKAiCgL9;BRAZIL;SERIE B;2024;20.07.2024;Paysandu PA;Ponte Preta;https://www.flashscore.com/match/GKAiCgL9/#/
fB9eBDzG;BRAZIL;SERIE B;2024;20.07.2024;Sport Recife;Operario;https://www.flashscore.com/match/fB9eBDzG/#/
xENPcf6G;BRAZIL;SERIE B;2024;20.07.2024;Vila Nova FC;Santos;https://www.flashscore.com/match/xENPcf6G/#/
vLdYeghQ;BRAZIL;SERIE B;2024;24.07.2024;Amazonas;Guarani;https://www.flashscore.com/match/vLdYeghQ/#/
67bQcFND;BRAZIL;SERIE B;2024;24.07.2024;Brusque;Paysandu PA;https://www.flashscore.com/match/67bQcFND/#/
Gtl0iD0s;BRAZIL;SERIE B;2024;24.07.2024;Ceara;Botafogo SP;https://www.flashscore.com/match/Gtl0iD0s/#/
SMSqkNJD;BRAZIL;SERIE B;2024;24.07.2024;Chapecoense-SC;Sport Recife;https://www.flashscore.com/match/SMSqkNJD/#/
MJxPgo5r;BRAZIL;SERIE B;2024;24.07.2024;Goias;CRB;https://www.flashscore.com/match/MJxPgo5r/#/
f9Uyiqk1;BRAZIL;SERIE B;2024;24.07.2024;Ituano;America MG;https://www.flashscore.com/match/f9Uyiqk1/#/
rZQXiPZf;BRAZIL;SERIE B;2024;24.07.2024;Mirassol;Avai;https://www.flashscore.com/match/rZQXiPZf/#/
pbcUdZxK;BRAZIL;SERIE B;2024;24.07.2024;Operario;Novorizontino;https://www.flashscore.com/match/pbcUdZxK/#/
0AyTh5Kl;BRAZIL;SERIE B;2024;24.07.2024;Ponte Preta;Vila Nova FC;https://www.flashscore.com/match/0AyTh5Kl/#/
lWTuj347;BRAZIL;SERIE B;2024;24.07.2024;Santos;Coritiba;https://www.flashscore.com/match/lWTuj347/#/
6kqPo9UI;BRAZIL;SERIE B;2024;27.07.2024;America MG;Ceara;https://www.flashscore.com/match/6kqPo9UI/#/
KhX6Ah7J;BRAZIL;SERIE B;2024;27.07.2024;Avai;Botafogo SP;https://www.flashscore.com/match/KhX6Ah7J/#/
vwEw5WUt;BRAZIL;SERIE B;2024;27.07.2024;Coritiba;Chapecoense-SC;https://www.flashscore.com/match/vwEw5WUt/#/
bqWA9CMP;BRAZIL;SERIE B;2024;27.07.2024;CRB;Santos;https://www.flashscore.com/match/bqWA9CMP/#/
b5w5jXFm;BRAZIL;SERIE B;2024;27.07.2024;Goias;Amazonas;https://www.flashscore.com/match/b5w5jXFm/#/
xdx9kiVg;BRAZIL;SERIE B;2024;27.07.2024;Guarani;Brusque;https://www.flashscore.com/match/xdx9kiVg/#/
hnuLnkFC;BRAZIL;SERIE B;2024;27.07.2024;Ituano;Vila Nova FC;https://www.flashscore.com/match/hnuLnkFC/#/
WWjClBp0;BRAZIL;SERIE B;2024;27.07.2024;Mirassol;Operario;https://www.flashscore.com/match/WWjClBp0/#/
ITCs4jpm;BRAZIL;SERIE B;2024;27.07.2024;Paysandu PA;Novorizontino;https://www.flashscore.com/match/ITCs4jpm/#/
CjCo3Aag;BRAZIL;SERIE B;2024;27.07.2024;Sport Recife;Ponte Preta;https://www.flashscore.com/match/CjCo3Aag/#/
4pyPGTTh;BRAZIL;SERIE B;2024;03.08.2024;Amazonas;Ituano;https://www.flashscore.com/match/4pyPGTTh/#/
pt4b08qC;BRAZIL;SERIE B;2024;03.08.2024;Botafogo SP;Coritiba;https://www.flashscore.com/match/pt4b08qC/#/
WWxHIkat;BRAZIL;SERIE B;2024;03.08.2024;Brusque;America MG;https://www.flashscore.com/match/WWxHIkat/#/
pdhMFmqa;BRAZIL;SERIE B;2024;03.08.2024;Ceara;Guarani;https://www.flashscore.com/match/pdhMFmqa/#/
fBokNVjP;BRAZIL;SERIE B;2024;03.08.2024;Chapecoense-SC;Mirassol;https://www.flashscore.com/match/fBokNVjP/#/
EF82aSbI;BRAZIL;SERIE B;2024;03.08.2024;Novorizontino;Goias;https://www.flashscore.com/match/EF82aSbI/#/
QgxLH9En;BRAZIL;SERIE B;2024;03.08.2024;Operario;CRB;https://www.flashscore.com/match/QgxLH9En/#/
6k5f1lU5;BRAZIL;SERIE B;2024;03.08.2024;Ponte Preta;Avai;https://www.flashscore.com/match/6k5f1lU5/#/
h676bnEO;BRAZIL;SERIE B;2024;03.08.2024;Santos;Sport Recife;https://www.flashscore.com/match/h676bnEO/#/
OQFk2UEa;BRAZIL;SERIE B;2024;03.08.2024;Vila Nova FC;Paysandu PA;https://www.flashscore.com/match/OQFk2UEa/#/
hSrsBPcU;BRAZIL;SERIE B;2024;10.08.2024;America MG;Botafogo SP;https://www.flashscore.com/match/hSrsBPcU/#/
40PnW8Tu;BRAZIL;SERIE B;2024;10.08.2024;Avai;Operario;https://www.flashscore.com/match/40PnW8Tu/#/
QFDeUnbh;BRAZIL;SERIE B;2024;10.08.2024;Coritiba;Ponte Preta;https://www.flashscore.com/match/QFDeUnbh/#/
riOjVSrn;BRAZIL;SERIE B;2024;10.08.2024;CRB;Novorizontino;https://www.flashscore.com/match/riOjVSrn/#/
OniQE7b5;BRAZIL;SERIE B;2024;10.08.2024;Goias;Ceara;https://www.flashscore.com/match/OniQE7b5/#/
I9jUDRDB;BRAZIL;SERIE B;2024;10.08.2024;Guarani;Vila Nova FC;https://www.flashscore.com/match/I9jUDRDB/#/
EypwC5rO;BRAZIL;SERIE B;2024;10.08.2024;Ituano;Chapecoense-SC;https://www.flashscore.com/match/EypwC5rO/#/
WCfYCoTH;BRAZIL;SERIE B;2024;10.08.2024;Mirassol;Brusque;https://www.flashscore.com/match/WCfYCoTH/#/
O0WbT6Db;BRAZIL;SERIE B;2024;10.08.2024;Paysandu PA;Santos;https://www.flashscore.com/match/O0WbT6Db/#/
INV2SQS4;BRAZIL;SERIE B;2024;10.08.2024;Sport Recife;Amazonas;https://www.flashscore.com/match/INV2SQS4/#/
QiRsTcJF;BRAZIL;SERIE B;2024;17.08.2024;Amazonas;CRB;https://www.flashscore.com/match/QiRsTcJF/#/
jFnu9xSq;BRAZIL;SERIE B;2024;17.08.2024;Botafogo SP;Paysandu PA;https://www.flashscore.com/match/jFnu9xSq/#/
vyTZUJl3;BRAZIL;SERIE B;2024;17.08.2024;Brusque;Coritiba;https://www.flashscore.com/match/vyTZUJl3/#/
8GGnSHYL;BRAZIL;SERIE B;2024;17.08.2024;Ceara;Mirassol;https://www.flashscore.com/match/8GGnSHYL/#/
0pUVVaZd;BRAZIL;SERIE B;2024;17.08.2024;Chapecoense-SC;Guarani;https://www.flashscore.com/match/0pUVVaZd/#/
pxnq8dsj;BRAZIL;SERIE B;2024;17.08.2024;Novorizontino;America MG;https://www.flashscore.com/match/pxnq8dsj/#/
n1SwUw49;BRAZIL;SERIE B;2024;17.08.2024;Operario;Ituano;https://www.flashscore.com/match/n1SwUw49/#/
EkPBQ4cH;BRAZIL;SERIE B;2024;17.08.2024;Ponte Preta;Goias;https://www.flashscore.com/match/EkPBQ4cH/#/
bujm7Gdd;BRAZIL;SERIE B;2024;17.08.2024;Santos;Avai;https://www.flashscore.com/match/bujm7Gdd/#/
dEU6RprB;BRAZIL;SERIE B;2024;17.08.2024;Vila Nova FC;Sport Recife;https://www.flashscore.com/match/dEU6RprB/#/
0AuQuy3L;BRAZIL;SERIE B;2024;21.08.2024;Amazonas;Ponte Preta;https://www.flashscore.com/match/0AuQuy3L/#/
EHaVJgt2;BRAZIL;SERIE B;2024;21.08.2024;America MG;Chapecoense-SC;https://www.flashscore.com/match/EHaVJgt2/#/
SKmDrwJ2;BRAZIL;SERIE B;2024;21.08.2024;Avai;Paysandu PA;https://www.flashscore.com/match/SKmDrwJ2/#/
veiHscY8;BRAZIL;SERIE B;2024;21.08.2024;CRB;Ceara;https://www.flashscore.com/match/veiHscY8/#/
MJKjRylS;BRAZIL;SERIE B;2024;21.08.2024;Goias;Brusque;https://www.flashscore.com/match/MJKjRylS/#/
va7IMedq;BRAZIL;SERIE B;2024;21.08.2024;Guarani;Santos;https://www.flashscore.com/match/va7IMedq/#/
Ik6MLFBk;BRAZIL;SERIE B;2024;21.08.2024;Mirassol;Botafogo SP;https://www.flashscore.com/match/Ik6MLFBk/#/
zR0RKZQe;BRAZIL;SERIE B;2024;21.08.2024;Novorizontino;Ituano;https://www.flashscore.com/match/zR0RKZQe/#/
MJtMtHmF;BRAZIL;SERIE B;2024;21.08.2024;Operario;Vila Nova FC;https://www.flashscore.com/match/MJtMtHmF/#/
UqpUveIR;BRAZIL;SERIE B;2024;21.08.2024;Sport Recife;Coritiba;https://www.flashscore.com/match/UqpUveIR/#/
SKP4Yhee;BRAZIL;SERIE B;2024;24.08.2024;Botafogo SP;Guarani;https://www.flashscore.com/match/SKP4Yhee/#/
QRsifzIE;BRAZIL;SERIE B;2024;24.08.2024;Brusque;Sport Recife;https://www.flashscore.com/match/QRsifzIE/#/
vZNRmYfr;BRAZIL;SERIE B;2024;24.08.2024;Ceara;Novorizontino;https://www.flashscore.com/match/vZNRmYfr/#/
nyqmeG28;BRAZIL;SERIE B;2024;24.08.2024;Chapecoense-SC;CRB;https://www.flashscore.com/match/nyqmeG28/#/
KlsegfXK;BRAZIL;SERIE B;2024;24.08.2024;Coritiba;Avai;https://www.flashscore.com/match/KlsegfXK/#/
MsP8XCA1;BRAZIL;SERIE B;2024;24.08.2024;Ituano;Goias;https://www.flashscore.com/match/MsP8XCA1/#/
YioahEnR;BRAZIL;SERIE B;2024;24.08.2024;Paysandu PA;Mirassol;https://www.flashscore.com/match/YioahEnR/#/
EHL0ZYuk;BRAZIL;SERIE B;2024;24.08.2024;Ponte Preta;Operario;https://www.flashscore.com/match/EHL0ZYuk/#/
0YNCWWP7;BRAZIL;SERIE B;2024;24.08.2024;Santos;Amazonas;https://www.flashscore.com/match/0YNCWWP7/#/
WhWezFQr;BRAZIL;SERIE B;2024;24.08.2024;Vila Nova FC;America MG;https://www.flashscore.com/match/WhWezFQr/#/
WSn51iPs;BRAZIL;SERIE B;2024;31.08.2024;Amazonas;Ceara;https://www.flashscore.com/match/WSn51iPs/#/
Yi7U7gnE;BRAZIL;SERIE B;2024;31.08.2024;Chapecoense-SC;Botafogo SP;https://www.flashscore.com/match/Yi7U7gnE/#/
Cr6Y6D1K;BRAZIL;SERIE B;2024;31.08.2024;CRB;Avai;https://www.flashscore.com/match/Cr6Y6D1K/#/
IPMVnhAl;BRAZIL;SERIE B;2024;31.08.2024;Goias;Paysandu PA;https://www.flashscore.com/match/IPMVnhAl/#/
naRZoCPf;BRAZIL;SERIE B;2024;31.08.2024;Guarani;Coritiba;https://www.flashscore.com/match/naRZoCPf/#/
QkQwoWv1;BRAZIL;SERIE B;2024;31.08.2024;Mirassol;America MG;https://www.flashscore.com/match/QkQwoWv1/#/
8EFrpjf7;BRAZIL;SERIE B;2024;31.08.2024;Novorizontino;Vila Nova FC;https://www.flashscore.com/match/8EFrpjf7/#/
UJ0w6XGQ;BRAZIL;SERIE B;2024;31.08.2024;Operario;Brusque;https://www.flashscore.com/match/UJ0w6XGQ/#/
KlJnqA9D;BRAZIL;SERIE B;2024;31.08.2024;Santos;Ponte Preta;https://www.flashscore.com/match/KlJnqA9D/#/
Qkn90Bvl;BRAZIL;SERIE B;2024;31.08.2024;Sport Recife;Ituano;https://www.flashscore.com/match/Qkn90Bvl/#/
nPxUemgJ;BRAZIL;SERIE B;2024;07.09.2024;America MG;Guarani;https://www.flashscore.com/match/nPxUemgJ/#/
n3ux4pot;BRAZIL;SERIE B;2024;07.09.2024;Avai;Sport Recife;https://www.flashscore.com/match/n3ux4pot/#/
08vMc9O6;BRAZIL;SERIE B;2024;07.09.2024;Botafogo SP;Goias;https://www.flashscore.com/match/08vMc9O6/#/
06qt340n;BRAZIL;SERIE B;2024;07.09.2024;Brusque;Santos;https://www.flashscore.com/match/06qt340n/#/
jexg02p5;BRAZIL;SERIE B;2024;07.09.2024;Ceara;Operario;https://www.flashscore.com/match/jexg02p5/#/
fTrp2OFh;BRAZIL;SERIE B;2024;07.09.2024;Coritiba;Novorizontino;https://www.flashscore.com/match/fTrp2OFh/#/
8YwQdTwD;BRAZIL;SERIE B;2024;07.09.2024;Ituano;Mirassol;https://www.flashscore.com/match/8YwQdTwD/#/
YJsl1rVb;BRAZIL;SERIE B;2024;07.09.2024;Paysandu PA;Amazonas;https://www.flashscore.com/match/YJsl1rVb/#/
MHuIbk90;BRAZIL;SERIE B;2024;07.09.2024;Ponte Preta;Chapecoense-SC;https://www.flashscore.com/match/MHuIbk90/#/
vgjDaVgf;BRAZIL;SERIE B;2024;07.09.2024;Vila Nova FC;CRB;https://www.flashscore.com/match/vgjDaVgf/#/
YXMMFsph;BRAZIL;SERIE B;2024;14.09.2024;Brusque;Vila Nova FC;https://www.flashscore.com/match/YXMMFsph/#/
fsOIGNUo;BRAZIL;SERIE B;2024;14.09.2024;Chapecoense-SC;Ceara;https://www.flashscore.com/match/fsOIGNUo/#/
UoycaMaB;BRAZIL;SERIE B;2024;14.09.2024;Goias;Avai;https://www.flashscore.com/match/UoycaMaB/#/
Mgg4c0UN;BRAZIL;SERIE B;2024;14.09.2024;Mirassol;Amazonas;https://www.flashscore.com/match/Mgg4c0UN/#/
4Ir9dKqU;BRAZIL;SERIE B;2024;14.09.2024;Novorizontino;Botafogo SP;https://www.flashscore.com/match/4Ir9dKqU/#/
GdCRE1ab;BRAZIL;SERIE B;2024;14.09.2024;Operario;Coritiba;https://www.flashscore.com/match/GdCRE1ab/#/
UaGVDLE4;BRAZIL;SERIE B;2024;14.09.2024;Paysandu PA;Guarani;https://www.flashscore.com/match/UaGVDLE4/#/
O8z1btFH;BRAZIL;SERIE B;2024;14.09.2024;Ponte Preta;Ituano;https://www.flashscore.com/match/O8z1btFH/#/
6RUzhvho;BRAZIL;SERIE B;2024;14.09.2024;Santos;America MG;https://www.flashscore.com/match/6RUzhvho/#/
OMFZCuUA;BRAZIL;SERIE B;2024;14.09.2024;Sport Recife;CRB;https://www.flashscore.com/match/OMFZCuUA/#/
rml3A7P9;BRAZIL;SERIE B;2024;18.09.2024;Amazonas;Operario;https://www.flashscore.com/match/rml3A7P9/#/
hbLA4Hyi;BRAZIL;SERIE B;2024;18.09.2024;America MG;Paysandu PA;https://www.flashscore.com/match/hbLA4Hyi/#/
dWoiD9ui;BRAZIL;SERIE B;2024;18.09.2024;Avai;Ituano;https://www.flashscore.com/match/dWoiD9ui/#/
MFUvAwET;BRAZIL;SERIE B;2024;18.09.2024;Botafogo SP;Santos;https://www.flashscore.com/match/MFUvAwET/#/
4dkaBmA3;BRAZIL;SERIE B;2024;18.09.2024;Coritiba;Ceara;https://www.flashscore.com/match/4dkaBmA3/#/
zNpeCTfc;BRAZIL;SERIE B;2024;18.09.2024;CRB;Ponte Preta;https://www.flashscore.com/match/zNpeCTfc/#/
